temperatura,data,hora
19.2675,2016-10-02,22:15:00
19.28,2016-10-02,23:15:00
19.294999999999998,2016-10-03,00:15:00
19.3,2016-10-03,01:15:00
19.310000000000002,2016-10-03,02:15:00
19.322499999999998,2016-10-03,03:15:00
19.33,2016-10-03,04:15:00
19.33,2016-10-03,05:15:00
19.33,2016-10-03,06:15:00
19.33,2016-10-03,07:15:00
19.34,2016-10-03,08:15:00
19.325,2016-10-03,09:15:00
19.3125,2016-10-03,10:15:00
19.3,2016-10-03,11:15:00
19.3,2016-10-03,12:15:00
19.29,2016-10-03,13:15:00
19.2825,2016-10-03,14:15:00
19.28,2016-10-03,15:15:00
19.29,2016-10-03,16:15:00
19.2825,2016-10-03,17:15:00
19.2875,2016-10-03,18:15:00
19.29,2016-10-03,19:15:00
19.29,2016-10-03,20:15:00
19.2825,2016-10-03,21:15:00
19.28,2016-10-03,22:15:00
19.272499999999997,2016-10-03,23:15:00
19.27,2016-10-04,00:15:00
19.27,2016-10-04,01:15:00
19.27,2016-10-04,02:15:00
19.265,2016-10-04,03:15:00
19.26,2016-10-04,04:15:00
19.26,2016-10-04,05:15:00
19.26,2016-10-04,06:15:00
19.26,2016-10-04,07:15:00
19.255000000000003,2016-10-04,08:15:00
19.235,2016-10-04,09:15:00
19.225,2016-10-04,10:15:00
19.215,2016-10-04,11:15:00
19.2125,2016-10-04,12:15:00
19.2125,2016-10-04,13:15:00
19.2,2016-10-04,14:15:00
19.19,2016-10-04,15:15:00
19.195,2016-10-04,16:15:00
19.2075,2016-10-04,17:15:00
19.21,2016-10-04,18:15:00
19.2225,2016-10-04,19:15:00
19.232499999999998,2016-10-04,20:15:00
19.2525,2016-10-04,21:15:00
19.2675,2016-10-04,22:15:00
19.27,2016-10-04,23:15:00
19.2775,2016-10-05,00:15:00
19.2875,2016-10-05,01:15:00
19.302500000000002,2016-10-05,02:15:00
19.31,2016-10-05,03:15:00
19.32,2016-10-05,04:15:00
19.32,2016-10-05,05:15:00
19.32,2016-10-05,06:15:00
19.322499999999998,2016-10-05,07:15:00
19.32,2016-10-05,08:15:00
19.305,2016-10-05,09:15:00
19.2975,2016-10-05,10:15:00
19.2975,2016-10-05,11:15:00
19.28,2016-10-05,12:15:00
19.28,2016-10-05,13:15:00
19.27,2016-10-05,14:15:00
19.27,2016-10-05,15:15:00
19.262500000000003,2016-10-05,16:15:00
19.265,2016-10-05,17:15:00
19.262500000000003,2016-10-05,18:15:00
19.2775,2016-10-05,19:15:00
19.2825,2016-10-05,20:15:00
19.3,2016-10-05,21:15:00
19.302500000000002,2016-10-05,22:15:00
19.322499999999998,2016-10-05,23:15:00
19.33,2016-10-06,00:15:00
19.3325,2016-10-06,01:15:00
19.3425,2016-10-06,02:15:00
19.3475,2016-10-06,03:15:00
19.3475,2016-10-06,04:15:00
19.3525,2016-10-06,05:15:00
19.365000000000002,2016-10-06,06:15:00
